sid,session,age,grade,fluency,symbolic,nonsymbolic,mixed,stroop,ordinality,number_to_line,line_to_number,add,mult,sub
972702,1,,,0.9875,1.0,1.0,1.0,1.0,,,,,,
309158,1,11.0217033001,,,1.0,0.9,0.78,1.0,0.203703703704,0.11,,,,
595906,1,11.7053804182,,,1.0,0.71,0.5,1.0,0.037037037037,,,,,
541097,1,12.4096172216,6.0,0.45,1.0,0.79,0.64,1.0,0.037037037037,,,0.64,0.12,0.566666666667
737971,1,,11.0,,1.0,0.6,0.48,1.0,0.203703703704,,,,,
507393,1,10.5048101287,,0.3625,1.0,0.6,0.09,1.0,,,,0.6,0.02,0.45
432193,1,,,0.23125,1.0,0.83,0.09,1.0,,,,0.36,0.0,0.316666666667
920374,1,,,0.5,1.0,0.57,0.67,1.0,,,,0.7,0.22,0.566666666667
913412,1,,,0.38125,1.0,0.75,0.18,1.0,0.207407407407,,,0.6,0.02,0.5
892288,1,12.2675981825,,0.5625,0.37,,0.88,1.0,1.0,,,0.72,0.32,0.633333333333
693799,1,9.72375703458,,0.25625,0.09,0.64,0.0,1.0,0.203703703704,,,0.42,0.0,0.333333333333
329162,1,12.1769499158,,0.55625,1.0,0.88,0.6,1.0,0.17037037037,,,0.7,0.32,0.633333333333
102905,1,10.2111492263,,0.4375,1.0,0.73,0.54,1.0,0.207407407407,,,0.64,0.12,0.533333333333
831089,1,10.4526678622,,0.2625,1.0,0.52,0.07,1.0,0.037037037037,,,0.4,0.0,0.366666666667
279739,1,13.6583270463,,0.5625,0.07,1.0,0.07,1.0,0.103703703704,,,0.72,0.32,0.633333333333
446644,1,9.38948609485,,0.30625,1.0,0.57,0.62,1.0,0.366666666667,,,0.48,0.0,0.416666666667
992723,1,,,0.01875,0.98,0.55,,1.0,0.37037037037,,,0.02,0.0,0.0333333333333
402629,1,,,0.7125,1.0,1.0,0.92,1.0,0.17037037037,,,0.86,0.52,0.75
633662,1,16.5775563495,,0.49375,1.0,0.6,0.69,1.0,0.203703703704,,,0.66,0.22,0.583333333333
711237,1,17.5163839968,,0.8,1.0,0.77,0.93,1.0,0.111111111111,,,0.86,0.68,0.85
739332,1,16.7607923287,,0.6,1.0,0.87,0.79,1.0,0.555555555556,,,0.76,0.38,0.65
950575,1,15.76952321,,0.1375,,1.0,0.64,1.0,0.166666666667,,,0.12,0.2,0.1
972372,1,17.3522176666,,0.53125,1.0,0.75,0.78,1.0,0.203703703704,,,0.7,0.28,0.6
351532,1,16.5941482878,,0.46875,1.0,0.87,0.75,1.0,0.648148148148,,,0.66,0.2,0.533333333333
773242,1,17.2997120571,,0.70625,1.0,0.77,0.88,1.0,0.203703703704,1.0,0.15,0.82,0.54,0.75
619267,1,17.3036503652,,0.70625,1.0,0.64,0.57,1.0,0.27037037037,1.0,0.62,0.82,0.54,0.75
460257,1,17.8140581828,,0.0,1.0,0.55,0.43,0.78,0.166666666667,0.15,0.26,0.0,0.0,0.0
177668,1,17.8998668503,,0.625,1.0,0.94,0.63,1.0,0.203703703704,0.66,0.15,0.78,0.42,0.666666666667
385794,1,9.89951691152,,0.1,0.96,0.67,0.85,1.0,0.233333333333,,,0.08,0.0,0.2
773305,1,9.51619300875,,0.19375,1.0,1.0,0.67,0.55,0.0,0.34,0.31,0.3,0.0,0.266666666667
206612,1,12.1394079504,,0.625,1.0,0.53,0.67,1.0,0.233333333333,0.24,0.15,0.76,0.42,0.683333333333
641001,1,18.2145088664,,0.6625,0.09,0.64,0.62,1.0,0.140740740741,0.73,0.27,0.82,0.52,0.65
801875,1,10.7003917235,,0.0,1.0,0.78,0.7,1.0,0.203703703704,0.35,0.29,0.0,0.0,0.0
991426,1,,,0.33125,1.0,0.75,1.0,1.0,0.27037037037,,,0.46,0.0,0.5
970343,1,15.5037925716,,0.35625,1.0,0.79,0.64,1.0,0.233333333333,1.0,0.38,0.58,0.04,0.433333333333
288527,1,11.104445892,,0.0,0.98,0.69,0.09,1.0,0.307407407407,0.33,,0.0,0.0,0.0
137893,1,14.8115198515,,0.46875,1.0,0.83,0.37,1.0,0.240740740741,0.92,0.07,0.66,0.16,0.566666666667
401822,1,17.2278376251,,0.63125,1.0,1.0,0.48,1.0,0.203703703704,0.72,1.0,0.76,0.44,0.683333333333
382670,1,16.5993880207,,0.6,1.0,0.83,0.52,1.0,1.0,1.0,1.0,0.74,0.38,0.666666666667
419573,1,16.4297845685,,0.26875,1.0,0.85,0.6,1.0,0.0666666666667,1.0,,0.4,0.0,0.383333333333
214409,1,17.3738790109,,0.61875,1.0,0.93,0.06,1.0,0.103703703704,1.0,0.48,0.76,0.4,0.683333333333
447959,1,14.7230332955,,0.4875,1.0,0.64,0.77,1.0,0.203703703704,0.07,0.75,0.68,0.16,0.6
331792,1,12.1659391566,6.0,0.64375,1.0,0.72,0.66,1.0,0.037037037037,1.0,0.58,0.78,0.44,0.7
607782,1,11.7908482416,6.0,0.54375,1.0,0.71,0.45,1.0,0.17037037037,0.61,0.12,0.7,0.3,0.616666666667
191894,1,12.1549890813,6.0,0.4875,,0.09,0.57,1.0,0.240740740741,1.0,0.38,0.68,0.18,0.583333333333
466774,1,11.9551204438,6.0,0.19375,1.0,0.65,0.39,1.0,0.644444444444,1.0,0.46,0.3,0.0,0.266666666667
147108,1,,6.0,0.0,0.07,0.85,0.55,1.0,0.0666666666667,0.07,0.07,0.0,0.0,0.0
385352,1,12.2946218317,6.0,0.675,1.0,0.57,0.5,1.0,0.0,,0.31,0.8,0.48,0.733333333333
503886,1,11.8757227251,6.0,0.49375,1.0,0.57,0.78,1.0,0.037037037037,1.0,0.34,0.68,0.26,0.533333333333
258870,1,12.0755908872,6.0,0.375,,0.5,0.0,1.0,0.166666666667,0.23,0.0,0.58,0.0,0.516666666667
860703,1,,6.0,0.2125,1.0,0.65,0.07,1.0,0.0,0.15,,0.32,0.0,0.3
731471,1,,6.0,0.36875,1.0,0.79,0.6,1.0,1.0,0.74,0.24,0.56,0.04,0.483333333333
580588,1,,6.0,0.0,1.0,0.62,0.74,,0.274074074074,,0.07,0.0,0.0,0.0
386521,1,,6.0,0.0,0.09,0.73,0.09,1.0,0.133333333333,,,0.0,0.0,0.0
736616,1,12.6926168281,,0.55625,1.0,0.46,0.52,1.0,0.0,1.0,0.58,0.7,0.32,0.633333333333
952479,1,18.4150423653,,0.6875,1.0,0.73,0.72,1.0,0.962962962963,1.0,0.55,0.82,0.5,0.733333333333
156123,1,15.100769111,10.0,0.575,1.0,0.67,0.55,1.0,0.0666666666667,,0.07,0.74,0.34,0.633333333333
620532,1,11.5308119745,6.0,0.25,1.0,0.75,0.33,1.0,0.233333333333,,0.07,0.36,0.0,0.366666666667
521442,1,17.1414322904,,0.53125,1.0,0.69,1.0,1.0,0.166666666667,1.0,0.07,0.7,0.28,0.6
795479,1,17.1469852348,,0.625,1.0,0.75,0.8,1.0,0.103703703704,1.0,0.07,0.78,0.42,0.666666666667
253989,1,,,0.8875,1.0,0.98,0.52,1.0,0.488888888889,1.0,0.8,0.92,0.82,0.916666666667
752112,1,16.3611908083,,0.7,1.0,0.82,1.0,0.18,0.203703703704,1.0,0.15,0.82,0.54,0.733333333333
224902,1,13.8666608866,,0.45625,1.0,0.6,0.62,1.0,0.4,1.0,,0.6,0.18,0.566666666667
889665,1,14.2555152348,,0.55,1.0,0.93,0.66,1.0,0.0,0.79,0.07,0.7,0.32,0.616666666667
823759,1,16.906079269,,0.55625,1.0,0.62,1.0,1.0,0.381481481481,1.0,0.49,0.72,0.32,0.616666666667
207553,1,17.9244789231,,0.25625,1.0,0.71,0.73,1.0,0.166666666667,1.0,0.24,0.32,0.2,0.25
603528,1,15.3756613757,,0.65625,1.0,0.6,0.92,1.0,0.577777777778,1.0,0.74,0.78,0.48,0.7
