ACC,RT,avg_easyness,con,diff1,diff2,distance,easyness,n1,n2,play,practice,ratio,session,sid,sticking_point,stuck,trial
0,947,0.4093,incon,0.541666667,1.0,5,-0.4735,17,22,1,False,0.77,1,338533,,True,23
0,1282,0.1591,incon,0.541666667,1.0,2,-0.641,14,16,1,False,0.88,1,338533,,True,24
1,585,,con,0.083333333,0.285714286,3,0.7075,1,4,1,False,0.25,1,306568,,,7
1,458,,con,0.166666667,0.571428571,3,0.771,3,6,1,False,0.5,1,306568,,,8
1,724,,incon,0.25,0.857142857,2,0.638,5,7,1,False,0.71,1,306568,,,9
1,1602,,incon,0.333333333,1.0,1,0.199,7,8,1,False,0.88,1,306568,,,10
1,740,0.5891,con,0.333333333,1.0,1,0.63,9,10,1,False,0.9,1,306568,,,11
1,819,0.5657,con,0.416666667,1.0,4,0.5905,11,15,1,False,0.73,1,306568,,,12
1,1024,0.5091,incon,0.5,1.0,1,0.488,12,13,1,False,0.92,1,306568,,,13
0,1251,0.2564,incon,0.541666667,1.0,1,-0.6255,13,14,1,False,0.93,1,306568,,,14
1,993,0.3173,con,0.5,0.857142857,2,0.5035,14,16,1,False,0.88,1,306568,,,15
1,720,0.3193,incon,0.583333333,1.0,1,0.64,13,14,1,False,0.93,1,306568,,,16
1,1052,0.296,con,0.666666667,1.0,2,0.474,15,17,1,False,0.88,1,306568,,,17
1,1084,0.29,incon,0.708333333,1.0,2,0.458,17,19,1,False,0.89,1,306568,,,18
1,648,0.5503,con,0.75,1.0,2,0.676,18,20,1,False,0.9,1,306568,,,19
1,1658,0.4838,con,0.833333333,1.0,2,0.171,19,21,1,False,0.9,1,306568,,,20
0,1483,0.2075,con,0.791666667,1.0,2,-0.7415,21,23,1,False,0.91,1,306568,,,21
0,1897,-0.077,incon,0.75,0.857142857,2,-0.9485,20,22,1,False,0.91,1,306568,,,22
0,1785,-0.3471,incon,0.791666667,1.0,2,-0.8925,19,21,1,False,0.9,1,306568,,True,23
1,1017,-0.384,con,0.791666667,0.857142857,2,0.4915,20,22,1,False,0.91,1,306568,,True,24
1,1038,-0.322,con,0.791666667,0.714285714,5,0.481,22,27,1,False,0.81,1,306568,,True,25
0,1307,-0.3044,incon,0.75,1.0,12,-0.6535,20,32,1,False,0.63,1,306568,,True,26
0,1475,-0.2622,incon,0.75,0.714285714,2,-0.7375,19,21,1,False,0.9,1,306568,,True,27
1,1553,-0.039,con,0.708333333,1.0,4,0.2235,21,25,1,False,0.84,1,306568,,True,28
0,1574,-0.2947,incon,0.708333333,0.857142857,2,-0.787,18,20,1,False,0.9,1,306568,,True,29
1,716,,con,0.0,0.0,3,0.642,1,4,1,False,0.25,1,946547,,,7
1,786,,incon,0.083333333,0.285714286,6,0.607,3,9,1,False,0.33,1,946547,,,8
