n1,n2,ratio,sid,RT,ACC,easyness
24.0,27.0,0.89,595906,1240.0,1.0,0.38
,,,507393,,,
26.0,32.0,0.81,507393,1564.0,1.0,0.218
25.0,28.0,0.89,507393,1285.0,1.0,0.3575
27.0,33.0,0.82,507393,1127.0,1.0,0.4365
25.0,28.0,0.89,507393,1159.0,1.0,0.4205
27.0,33.0,0.82,507393,1422.0,1.0,0.289
25.0,28.0,0.89,507393,1059.0,1.0,0.4705
24.0,27.0,0.89,507393,997.0,1.0,0.5015
24.0,27.0,0.89,507393,867.0,1.0,0.5665
22.0,24.0,0.92,507393,1044.0,1.0,0.478
21.0,23.0,0.91,507393,790.0,1.0,0.605
19.0,21.0,0.9,507393,1288.0,1.0,0.356
17.0,19.0,0.89,507393,803.0,1.0,0.5985
15.0,17.0,0.88,507393,836.0,1.0,0.582
13.0,14.0,0.93,507393,699.0,1.0,0.6505
11.0,12.0,0.92,507393,765.0,1.0,0.6175
9.0,10.0,0.9,507393,749.0,1.0,0.6255
7.0,8.0,0.88,507393,659.0,1.0,0.6705
5.0,7.0,0.71,507393,555.0,1.0,0.7225
3.0,6.0,0.5,507393,614.0,1.0,0.693
1.0,4.0,0.25,507393,717.0,1.0,0.6415
4.0,8.0,0.5,507393,891.0,1.0,0.5545
3.0,9.0,0.33,507393,691.0,1.0,0.6545
2.0,8.0,0.25,507393,588.0,1.0,0.706
1.0,4.0,0.25,507393,615.0,1.0,0.6925
3.0,9.0,0.33,507393,1108.0,1.0,0.446
,,,279739,,,
,,,279739,,,
1.0,4.0,0.25,279739,572.0,1.0,0.714
2.0,6.0,0.33,279739,826.0,1.0,0.587
4.0,8.0,0.5,279739,738.0,1.0,0.631
2.0,13.0,0.15,279739,550.0,1.0,0.725
1.0,3.0,0.33,279739,567.0,1.0,0.7165
1.0,9.0,0.11,279739,529.0,1.0,0.7355
3.0,4.0,0.75,279739,616.0,1.0,0.692
3.0,9.0,0.33,279739,597.0,1.0,0.7015
1.0,4.0,0.25,279739,607.0,1.0,0.6965
3.0,9.0,0.33,279739,1972.0,0.0,-0.986
1.0,4.0,0.25,279739,1989.0,0.0,-0.9945
3.0,9.0,0.33,279739,1992.0,0.0,-0.996
,,,309158,,,
24.0,27.0,0.89,309158,1298.0,1.0,0.351
23.0,26.0,0.88,309158,1186.0,1.0,0.407
21.0,23.0,0.91,309158,1209.0,1.0,0.3955
19.0,21.0,0.9,309158,885.0,1.0,0.5575
17.0,19.0,0.89,309158,967.0,1.0,0.5165
15.0,17.0,0.88,309158,771.0,1.0,0.6145
13.0,14.0,0.93,309158,928.0,1.0,0.536
11.0,15.0,0.73,309158,687.0,1.0,0.6565
12.0,13.0,0.92,309158,922.0,1.0,0.539
13.0,14.0,0.93,309158,780.0,0.0,-0.39
11.0,12.0,0.92,309158,773.0,0.0,-0.3865
9.0,10.0,0.9,309158,622.0,1.0,0.689
7.0,8.0,0.88,309158,609.0,1.0,0.6955
5.0,7.0,0.71,309158,560.0,1.0,0.72
6.0,13.0,0.46,309158,689.0,1.0,0.6555
7.0,8.0,0.88,309158,537.0,0.0,-0.2685
5.0,7.0,0.71,309158,408.0,0.0,-0.204
3.0,6.0,0.5,309158,491.0,1.0,0.7545
1.0,4.0,0.25,309158,492.0,1.0,0.754
4.0,6.0,0.67,309158,614.0,1.0,0.693
3.0,11.0,0.27,309158,532.0,1.0,0.734
2.0,6.0,0.33,309158,665.0,1.0,0.6675
1.0,4.0,0.25,309158,536.0,1.0,0.732
3.0,9.0,0.33,309158,928.0,1.0,0.536
25.0,28.0,0.89,309158,1241.0,1.0,0.3795
27.0,33.0,0.82,309158,1911.0,1.0,0.0445
25.0,28.0,0.89,309158,1164.0,1.0,0.418
27.0,33.0,0.82,309158,762.0,1.0,0.619
25.0,28.0,0.89,309158,993.0,1.0,0.5035
27.0,33.0,0.82,309158,865.0,1.0,0.5675
24.0,27.0,0.89,309158,774.0,1.0,0.613
,,,773305,,,
25.0,28.0,0.89,773305,898.0,1.0,0.551
27.0,33.0,0.82,773305,1146.0,0.0,-0.573
25.0,28.0,0.89,773305,1159.0,1.0,0.4205
23.0,26.0,0.88,773305,1196.0,1.0,0.402
22.0,24.0,0.92,773305,635.0,1.0,0.6825
23.0,26.0,0.88,773305,1026.0,1.0,0.487
22.0,24.0,0.92,773305,1541.0,1.0,0.2295
21.0,23.0,0.91,773305,1219.0,1.0,0.3905
22.0,24.0,0.92,773305,1321.0,1.0,0.3395
21.0,23.0,0.91,773305,1959.0,1.0,0.0205
19.0,21.0,0.9,773305,1144.0,1.0,0.428
18.0,20.0,0.9,773305,850.0,1.0,0.575
17.0,19.0,0.89,773305,1184.0,1.0,0.408
18.0,23.0,0.78,773305,1309.0,1.0,0.3455
16.0,18.0,0.89,773305,1355.0,1.0,0.3225
14.0,16.0,0.88,773305,1001.0,1.0,0.4995
12.0,13.0,0.92,773305,910.0,1.0,0.545
10.0,11.0,0.91,773305,734.0,1.0,0.633
11.0,12.0,0.92,773305,803.0,1.0,0.5985
10.0,11.0,0.91,773305,876.0,0.0,-0.438
9.0,13.0,0.69,773305,1030.0,1.0,0.485
7.0,8.0,0.88,773305,552.0,1.0,0.724
5.0,6.0,0.83,773305,482.0,1.0,0.759
3.0,9.0,0.33,773305,557.0,1.0,0.7215
1.0,4.0,0.25,773305,824.0,1.0,0.588
4.0,8.0,0.5,773305,1980.0,0.0,-0.99
3.0,9.0,0.33,773305,1244.0,1.0,0.378
2.0,8.0,0.25,773305,536.0,1.0,0.732
1.0,4.0,0.25,773305,635.0,1.0,0.6825
3.0,9.0,0.33,773305,1599.0,1.0,0.2005
24.0,27.0,0.89,773305,1455.0,1.0,0.2725
25.0,28.0,0.89,773305,1708.0,1.0,0.146
27.0,33.0,0.82,773305,1433.0,1.0,0.2835
25.0,28.0,0.89,773305,1110.0,1.0,0.445
27.0,33.0,0.82,773305,1484.0,1.0,0.258
25.0,28.0,0.89,773305,1011.0,1.0,0.4945
24.0,27.0,0.89,773305,1214.0,1.0,0.393
,,,288527,,,
23.0,26.0,0.88,288527,921.0,1.0,0.5395
21.0,23.0,0.91,288527,958.0,1.0,0.521
20.0,22.0,0.91,288527,720.0,1.0,0.64
21.0,23.0,0.91,288527,1300.0,1.0,0.35
19.0,21.0,0.9,288527,613.0,0.0,-0.3065
